newtrans,location,days_before,days_after,transmonth,prevvisits,newvisits,lyprevvisits,lynewvisits,hotel_published_year,latitude,longitude,rating,num_amenities,ta,prev_oyster,new_oyster,price
3-partial,Miami,90,368,52015,8,29,7,15,2009,25.770889,-80.190955,40,20,108747,929,800,182.5925
4-full,Caribbean,90,360,52015,0,0,0,1,2011,18.023328,-63.045145,25,17,10998,145,56,182.6666
3-partial,San Francisco/Northern Cali,90,359,52015,0,5,1,0,2011,37.53681,-119.654964,20,11,221734,283,339,182.7142
4-full,Los Angeles,90,360,52015,6,10,1,9,2009,33.901058,-118.371824,35,18,33135,460,565,183.3846
4-full,Caribbean,90,360,52015,1,3,0,2,2011,20.59919,-105.23483,35,13,31976,610,803,183.6075
4-full,Caribbean,90,360,52015,0,11,0,2,2011,18.088933,-63.024981,30,27,34092,360,310,183.7073
4-full,Caribbean,90,360,52015,0,2,2,1,2011,18.450962,-66.064705,35,21,301060,426,414,183.9
3-partial,Las Vegas,90,354,52015,6,105,9,44,2010,36.109344,-115.17929,45,24,1032600,6383,7827,184.1112
3-full,Caribbean,90,136,12016,33,40,32,40,2009,18.722492,-68.457375,30,25,978123,3094,3955,184.1578
3-partial,Hawaii,90,359,52015,0,3,2,3,2009,22.054174,-159.327168,35,20,70563,326,178,184.1648
4-full,Hawaii,90,360,52015,0,2,1,0,2011,19.91843,-155.881276,35,15,29089,204,204,184.25
4-full,New York City,90,360,52015,0,3,0,0,2009,40.760164,-73.996094,30,12,132223,0,36,184.3333
4-full,Miami,90,360,52015,5,29,0,7,2009,25.793188,-80.129097,30,25,91988,378,399,184.8421
3-full,Las Vegas,90,190,52015,15,39,45,65,2009,36.092952,-115.178148,40,27,715806,7971,8646,185.0267
4-full,Caribbean,90,360,52015,0,0,0,0,2011,20.620351,-105.231471,40,25,149002,632,934,185.5955
3-partial,Las Vegas,90,368,52015,5,50,10,38,2010,36.108517,-115.168673,40,21,409577,5457,5748,185.8036
3-partial,Hawaii,90,361,52015,7,24,1,23,2009,21.282693,-157.827585,30,20,174628,1375,1174,185.8108
3-partial,Hawaii,90,361,52015,2,7,2,6,2009,20.872228,-156.678259,20,15,61804,179,132,185.8181
4-full,Hawaii,90,360,52015,0,1,1,3,2009,21.281295,-157.828004,35,22,103272,235,257,186.0952
4-full,Caribbean,90,360,52015,0,3,0,0,2013,20.553322,-86.923065,35,31,311955,1143,1267,186.0965
4-full,San Francisco/Northern Cali,90,360,52015,0,4,1,1,2009,37.786204,-122.411573,30,15,78081,755,615,186.1219
4-full,Caribbean,90,360,52015,0,2,1,2,2011,18.464039,-66.112482,35,21,139052,652,564,186.5696
4-full,Washington D.C.,90,360,52015,1,5,0,1,2009,38.907892,-77.035458,35,15,32812,577,440,187.75
4-full,Caribbean,90,360,52015,2,8,1,4,2011,10.300784,-85.840836,35,26,155074,878,760,188.2896
3-full,Caribbean,90,181,52015,35,83,133,39,2009,18.348621,-68.829483,30,30,839580,3347,4168,188.3068
3-partial,New York City,90,374,52015,0,2,0,2,2009,40.705681,-74.005867,30,18,31463,157,164,188.6363
4-full,Los Angeles,90,360,52015,0,0,0,0,2009,34.071254,-118.400239,30,16,24392,25,35,189.1428
3-partial,Las Vegas,90,323,52015,9,54,27,34,2009,36.11013,-115.170776,35,27,725040,8752,13338,189.1549
3-partial,New York City,90,374,52015,1,10,3,9,2009,40.743891,-73.981208,30,12,94392,387,456,189.1562
4-full,Washington D.C.,90,360,52015,0,1,0,0,2009,38.905868,-77.048697,35,16,42123,43,221,190
3-partial,Miami,90,368,52015,5,14,63,14,2009,25.814993,-80.122327,30,20,172713,649,811,190.4888
3-partial,Hawaii,90,361,52015,0,10,7,12,2009,21.27278,-157.822264,35,11,153017,544,515,191.5306
4-full,Caribbean,90,360,52015,0,1,0,1,2011,21.794333,-72.190048,30,16,58217,664,586,192.1007
3-partial,New York City,90,374,52015,4,33,7,11,2013,40.7495,-73.976669,30,12,293306,1119,1185,192.8885
3-partial,Caribbean,90,359,52015,2,24,0,2,2009,17.879614,-77.763206,35,21,68752,567,1641,192.9349
4-full,Caribbean,90,360,52015,0,1,0,0,2012,20.705672,-105.300286,40,26,360434,1650,1537,193.0344
3-partial,Washington D.C.,90,316,52015,0,2,0,2,2009,38.906265,-77.030678,35,20,122195,886,708,193.391
4-full,Hawaii,90,360,52015,1,12,3,6,2009,21.274837,-157.822896,35,23,394969,1161,1250,194.02
3-partial,New York City,90,352,52015,6,97,5,28,2013,40.751949,-73.947449,40,11,125690,1303,1474,194.1204
4-full,Miami,90,360,52015,0,1,0,0,2009,25.727133,-80.240659,30,19,88499,62,284,194.3333
4-full,Caribbean,90,360,52015,0,0,0,0,2011,21.79553,-72.182175,30,15,17462,222,177,194.375
4-full,San Francisco/Northern Cali,90,360,52015,1,2,1,1,2011,37.391569,-121.97714,35,16,19283,128,105,194.875
3-partial,San Francisco/Northern Cali,90,361,52015,8,22,2,16,2009,37.778915,-122.41077,25,13,49813,409,338,194.8775
4-full,Caribbean,90,360,52015,0,3,0,1,2011,20.734287,-105.31259,35,24,798648,4810,4325,195.156
3-partial,Hawaii,90,361,52015,1,9,1,8,2009,21.26331,-157.821188,30,24,93084,526,566,195.1587
4-full,Caribbean,90,360,52015,0,0,0,2,2011,20.652011,-105.243045,35,24,169907,1048,1179,195.537
3-partial,New York City,90,374,52015,2,20,6,11,2011,40.691424,-73.984608,30,17,75194,497,478,195.6515
4-full,Miami,90,360,52015,8,13,2,16,2009,25.785859,-80.129979,30,10,76839,937,499,195.7407
4-full,Hawaii,90,360,52015,2,5,0,3,2009,21.274757,-157.82141,30,17,88626,599,588,195.8181
3-partial,New York City,90,374,52015,9,45,59,50,2009,40.762088,-73.982927,35,14,447631,3001,2335,195.9435
4-full,Washington D.C.,90,360,52015,0,2,0,1,2009,38.905056,-77.050767,35,22,78238,338,323,196
3-partial,New York City,90,374,52015,3,16,1,17,2009,40.747218,-73.986338,30,13,119824,386,488,196.2903
4-full,Miami,90,360,52015,1,7,2,6,2009,25.815524,-80.122127,30,20,114153,471,469,196.9459
3-partial,Miami,90,368,52015,1,21,2,2,2009,25.7289,-80.241036,40,25,71651,478,673,197.0641
4-full,Miami,90,360,52015,2,5,1,3,2009,25.773214,-80.134276,25,17,35368,76,76,197.4444
3-partial,Hawaii,90,359,52015,1,11,2,3,2009,22.03573,-159.336996,25,11,22838,322,298,197.5
3-partial,Washington D.C.,90,316,52015,5,7,1,10,2009,38.922615,-77.053647,35,25,216753,1792,1483,198.0211
3-partial,New York City,90,374,52015,0,5,0,0,2009,40.757186,-73.981234,30,13,275936,409,391,198.1935
4-full,San Francisco/Northern Cali,90,360,52015,1,2,0,2,2011,37.523248,-122.261296,40,21,55722,421,512,199.0476
4-full,Washington D.C.,90,360,52015,0,1,0,1,2009,38.904574,-77.048279,35,16,38701,168,203,199.1666
3-partial,New York City,90,374,52015,4,35,5,33,2009,40.764351,-73.980659,30,12,388703,1178,1352,199.2905
4-full,Washington D.C.,90,360,52015,1,2,0,2,2009,38.908105,-77.034858,25,21,88050,93,132,199.3333
4-full,Washington D.C.,90,360,52015,1,16,0,2,2009,38.910592,-77.046711,40,15,75540,586,730,199.6081
3-partial,New York City,90,374,52015,1,7,1,3,2009,40.709024,-74.009191,25,14,54526,226,207,199.8888
3-partial,New York City,90,374,52015,2,3,5,12,2009,40.761742,-73.985275,25,12,122887,406,339,200.0571
3-partial,Hawaii,90,361,52015,2,23,3,8,2009,21.272258,-157.822205,35,18,269692,2309,2626,200.4906
3-partial,Hawaii,90,361,52015,2,18,2,6,2009,20.876021,-156.678366,35,13,20334,226,245,200.609
4-full,Caribbean,90,360,52015,0,0,2,1,2011,9.986915,-84.173515,40,27,46914,483,341,201.0769
4-full,Miami,90,360,52015,1,2,0,2,2011,25.77533,-80.134366,35,14,44054,287,222,201.2
4-full,Washington D.C.,90,360,52015,2,5,0,2,2009,38.916391,-77.04513,30,22,128950,506,662,201.6923
4-full,Washington D.C.,90,360,52015,3,4,0,3,2009,38.902884,-77.052859,35,17,79595,193,153,201.8888
3-partial,Caribbean,90,323,52015,11,55,22,28,2009,18.697615,-68.433067,35,30,1045848,8157,6675,202.5288
3-partial,New York City,90,374,52015,0,2,3,1,2009,40.755802,-73.980392,30,13,49931,369,252,202.6428
4-full,Caribbean,90,360,52015,0,2,1,1,2012,18.443481,-66.023048,35,19,271181,826,651,202.7558
4-full,Caribbean,90,360,52015,0,6,2,6,2012,14.076894,-60.953987,30,29,193148,762,936,202.8214
4-full,Los Angeles,90,360,52015,1,2,5,6,2009,33.900589,-118.396776,30,20,53022,268,287,203.2162
3-partial,Caribbean,90,91,12016,2,19,1,0,2009,18.732426,-68.472176,30,33,1005755,4639,5405,203.3622
4-full,San Francisco/Northern Cali,90,360,52015,0,0,0,0,2011,38.584003,-122.575874,30,15,41400,35,24,203.5714
3-partial,New York City,90,374,52015,1,10,5,2,2009,40.749478,-73.971875,35,20,98348,576,366,204.5384
4-full,San Francisco/Northern Cali,90,360,52015,0,1,0,0,2011,37.538777,-122.061952,40,23,13421,37,49,204.68
3-partial,New York City,90,374,52015,7,16,7,26,2009,40.743537,-73.986229,30,13,53739,591,373,204.6976
4-full,Los Angeles,90,360,52015,1,0,0,1,2011,34.409948,-119.693603,30,11,80624,37,82,204.8
3-partial,Washington D.C.,90,361,52015,5,20,2,8,2009,38.905109,-77.031462,40,20,90305,1584,914,205.6601
4-full,Caribbean,90,360,52015,1,0,0,1,2011,18.465756,-66.118839,30,12,17342,130,130,205.6964
