newtrans,location,days_before,days_after,transmonth,prevvisits,newvisits,lyprevvisits,lynewvisits,hotel_published_year,latitude,longitude,rating,num_amenities,ta,prev_oyster,new_oyster,price
3-partial,Hawaii,90,359,52015,1,20,6,10,2009,22.061445,-159.320253,40,22,154473,1775,1568,228.8395
3-partial,Miami,90,323,52015,1,31,0,9,2013,25.792133,-80.130236,40,16,132923,845,1073,229.0592
3-partial,Washington D.C.,90,361,52015,2,8,1,3,2009,38.90988,-77.04741,35,20,179373,1084,990,229.4558
3-partial,Washington D.C.,90,361,52015,1,4,0,2,2009,38.907594,-77.045684,30,16,110980,443,321,229.5757
3-partial,New York City,90,374,52015,4,6,2,12,2009,40.782428,-73.981333,30,16,168981,767,720,230
4-full,Los Angeles,90,360,52015,0,0,0,0,2009,34.072725,-118.372929,35,22,58709,229,264,230.15
3-partial,Miami,90,323,52015,2,16,1,9,2009,25.795256,-80.12877,30,20,69532,463,331,230.4647
3-partial,Miami,90,323,52015,3,19,2,7,2009,25.791091,-80.130709,35,18,88371,400,625,231.0848
3-partial,New York City,90,360,52015,3,20,4,6,2009,40.779761,-73.954532,30,15,55617,779,829,231.1544
3-partial,New York City,90,374,52015,0,3,1,1,2012,40.673277,-73.986952,35,19,56683,86,66,231.2
4-full,Caribbean,90,360,52015,1,6,0,1,2014,18.46524,-66.117958,40,12,256345,155,573,231.4489
4-full,Caribbean,90,360,52015,0,0,1,1,2011,20.532394,-105.290383,40,28,346017,2667,3022,231.6801
